SIM,Tipo,Configurazione,CL,Cd,Path
incomprimibile,RESULT_DANI,Be_153_055_Eppler61_Naso,-2.168407,0.298664,incomprimibile/RESULT_DANI/Naso/Be_153_055_Eppler61_Naso/Result.txt
incomprimibile,RESULT_DANI,Eppler_396_Eppler61_Naso,-2.341382696,0.2885041174,incomprimibile/RESULT_DANI/Naso/Eppler_396_Eppler61_Naso/Result.txt
incomprimibile,RESULT_DANI,Be_183_105_Eppler61_Naso,-1.074703,0.37117,incomprimibile/RESULT_DANI/Naso/Be_183_105_Eppler61_Naso/Result.txt
incomprimibile,RESULT_DANI,Be_183_105_Be_092_075_Naso,-1.099209,0.381549,incomprimibile/RESULT_DANI/Naso/Be_183_105_Be_092_075_Naso/Result.txt
incomprimibile,RESULT_DANI,Be_183_105_GOE_431_Naso,-1.121596,0.393909,incomprimibile/RESULT_DANI/Naso/Be_183_105_GOE_431_Naso/Result.txt
incomprimibile,RESULT_DANI,Be_153_055_Be_092_075_Naso,-2.206502203,0.3086846647,incomprimibile/RESULT_DANI/Naso/Be_153_055_Be_092_075_Naso/Result.txt
incomprimibile,RESULT_DANI,Eppler_396_GOE_431_Naso,-2.365635806,0.3133186128,incomprimibile/RESULT_DANI/Naso/Eppler_396_GOE_431_Naso/Result.txt
incomprimibile,RESULT_DANI,Eppler_396_Be_092_075_Naso,-2.36837643,0.3047731766,incomprimibile/RESULT_DANI/Naso/Eppler_396_Be_092_075_Naso/Result.txt
incomprimibile,RESULT_DANI,Eppler_396_Be_123_076_Naso,-2.380673487,0.3085449269,incomprimibile/RESULT_DANI/Naso/Eppler_396_Be_123_076_Naso/Result.txt
incomprimibile,RESULT_DANI,Be_153_055_WortmannFx_082_512_Naso,-2.123880375,0.2848098566,incomprimibile/RESULT_DANI/Naso/Be_153_055_WortmannFx_082_512_Naso/Result.txt
incomprimibile,RESULT_DANI,Eppler_396_WortmannFx_082_512_Naso,-2.284515612,0.2772292264,incomprimibile/RESULT_DANI/Naso/Eppler_396_WortmannFx_082_512_Naso/Result.txt
incomprimibile,RESULT_DANI,Be_183_105_S1210_Naso,-1.120219,0.392542,incomprimibile/RESULT_DANI/Naso/Be_183_105_S1210_Naso/Result.txt
incomprimibile,RESULT_DANI,Be_153_055_Be_123_076_Naso,-2.22311123,0.3140009976,incomprimibile/RESULT_DANI/Naso/Be_153_055_Be_123_076_Naso/Result.txt
