"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         166,      -2.189131802,      -1.724691954,      -1.364427592,     -0.2200304337,      -8.567392034
          0,           0,         167,       -2.17291737,      -1.735916646,      -1.460247719,     -0.2373612201,      -8.591461725
          0,           0,         168,      -2.215100335,      -1.727761391,      -1.373282185,     -0.1662060818,      -8.592678396
          0,           0,         169,      -2.132777957,      -1.624894562,       -1.38269392,     -0.1173880142,      -8.631705676
          0,           0,         170,      -2.206971744,      -1.737765751,      -1.484181586,    -0.09427042313,      -8.587158678
          0,           0,         171,      -2.190238995,      -1.707892424,      -1.434699294,    -0.01869486125,      -8.565451155
          0,           0,         172,      -1.828157983,      -1.465070747,      -1.466129676,     0.02595720224,      -8.561906853
          0,           0,         173,      -2.153200773,       -1.64615883,      -1.399478521,      0.1088033755,      -8.581483761
          0,           0,         174,      -2.127553724,      -1.619417828,      -1.399746888,      0.1705624129,      -8.665907579
          0,           0,         175,       -2.17259922,      -1.671351594,      -1.444276544,      0.3027294044,      -8.684986457
          0,           0,         176,      -2.180492826,       -1.69776919,      -1.424080633,      0.4120037032,      -8.432516475
          0,           0,         177,       -2.05532905,      -1.464111749,      -1.307729251,      0.5391892228,      -8.590530447
          0,           0,         178,      -2.157677596,      -1.654044182,      -1.459494891,      0.6748045136,      -8.567889052
          0,           0,         179,      -1.988571998,      -1.599712269,      -1.217730013,      0.7480174271,      -8.653159754
          0,           0,         180,      -2.116215764,      -1.646051224,      -1.379545896,      0.9925503796,      -8.413373064
          0,           0,         181,      -2.126231382,      -1.663688205,      -1.384690792,        1.03337982,      -8.451389013
          0,           0,         182,        -2.1342506,      -1.627928834,      -1.412930076,       1.138646153,      -8.487671927
          0,           0,         183,      -2.083139004,      -1.589409177,      -1.338066615,       1.238402227,      -8.528841038
          0,           0,         184,      -2.091568211,      -1.525012499,      -1.225347609,       1.335160794,      -8.226055138
          0,           0,         185,      -2.135132251,       -1.49543293,      -1.310850566,        1.43166046,      -8.546939159
          0,           0,         186,      -2.048552558,      -1.435090228,      -1.075543693,       1.515935846,      -8.554210181
          0,           0,         187,       -2.04741599,      -1.374683096,      -1.170685655,       1.526885544,      -8.571139586
          0,           0,         188,      -1.946019282,      -1.243676132,       -1.12921614,       1.425074031,      -8.577677905
          0,           0,         189,        -1.9874751,      -1.233988754,      -1.207801882,       1.329922886,      -8.546743212
          0,           0,         190,      -2.006570753,      -1.183689602,      -1.207392961,       1.426783565,      -8.527586804
          0,           0,         191,      -1.937915265,       -1.07100738,      -1.048026626,        1.36558213,      -8.526168752
          0,           0,         192,      -1.911082544,     -0.9819954463,     -0.9496278163,       1.220236708,      -8.508417734
          0,           0,         193,        -1.8388147,      -0.964504127,      -1.012915656,       1.304917482,      -8.466573003
          0,           0,         194,      -1.831313771,     -0.9886998151,     -0.9599832434,       1.317819362,      -8.460625881
          0,           0,         195,      -1.845008474,       -1.01362046,      -1.007441915,       1.195789818,      -8.347246537
          0,           0,         196,      -1.782773014,      -1.065642288,     -0.9709178233,       1.086362491,      -8.476747548
          0,           0,         197,       -1.83417111,      -1.160134605,     -0.9508155724,       1.031579573,      -8.494308397
          0,           0,         198,      -1.829245501,      -1.152216875,     -0.9348903398,       1.044075433,      -8.447155351
          0,           0,         199,      -1.843083472,      -1.143683507,     -0.8836230253,       1.171075704,      -8.351878945
          0,           0,         200,      -1.817667407,       -1.05875379,     -0.8040238043,       1.498037469,      -8.380763594
          0,           0,         201,      -1.558001948,     -0.6593542374,     -0.6748070679,       1.598661513,      -8.439600568
          0,           0,         202,      -1.511355051,     -0.2587724575,     -0.4109466891,       2.195448142,       -8.50664724
          0,           0,         203,      -1.740518929,     -0.8833082747,      -1.027323113,       1.480630738,      -8.542134263
          0,           0,         204,      -1.915192082,      -1.106934204,     -0.9824074876,       1.480139398,      -8.537208089
          0,           0,         205,      -1.949376307,      -1.189048163,     -0.9670231496,       1.510428728,      -8.485674865
          0,           0,         206,      -1.605806086,     -0.4065591532,     -0.4801117407,       1.898652027,      -8.408223749
          0,           0,         207,      -1.739790123,     -0.8828623419,      -0.934837135,       1.572585097,      -8.374642283
          0,           0,         208,      -1.886269026,       -1.11393803,     -0.9630502828,       1.572708431,      -8.336951445
          0,           0,         209,      -1.865205973,      -1.038919213,     -0.8966879416,       1.629611318,      -8.338598766
          0,           0,         210,      -1.740975043,     -0.8889096943,      -1.014178974,          1.707974,      -8.501043495
          0,           0,         211,      -1.847348301,      -0.995485887,     -0.9516002931,       1.747301798,      -8.509020053
          0,           0,         212,      -1.878912201,      -1.151971499,     -0.9412051597,       1.809346745,      -8.506581734
